TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42348;416.69;419.79;408.91;415.57;8463.88;3514699.25;415.26;383.409;351.0986667;409.5733333;438.16
42349;415.57;454.48;415.13;453.04;29020.2;12715568.6;438.16;390.772;355.2603333;422.7233333;432.5
42350;453.12;467.8;403;436.19;29770.28;12875519.54;432.5;398.456;358.7906667;428.64;435.07
42351;436.08;442.97;422.03;433.07;11725.67;5101509.33;435.07;405.674;362.1576667;435.2433333;441.38
42352;433.13;448.12;428.42;443.36;13386.74;5908604.6;441.38;413.804;365.689;436.3166667;455.21
42353;443.3;464.99;442.94;464.53;18096.39;8237602.55;455.21;421.559;370.0676667;443.8866667;454.61
42354;464.53;465;436.89;455.87;23377.12;10627485.43;454.61;427.819;374.4013333;450.4;454.72
42355;455.61;458.84;448.75;456.17;6598.64;3000514.42;454.72;434.037;378.3453333;454.8466667;459.76
42356;455.37;466.64;453.5;462.46;12914.74;5937708.34;459.76;440.142;382.5206667;456.3633333;461.49
42357;463.7;465.9;452.03;461.8;6839.18;3156242.38;461.49;444.816;386.8373333;458.6566667;446.88
42358;461.89;462;433.83;442.54;16626.49;7430072.73;446.88;447.978;391.103;456.0433333;436.19
42359;442.47;450;425.52;438.07;18930.86;8257540.79;436.19;447.781;394.812;448.1866667;437.42
42360;438.14;443.58;433.06;435.48;8146.02;3563201.25;437.42;448.273;398.6236667;440.1633333;440.15
42361;435.65;445.52;434.43;442.56;7100.23;3125137.43;440.15;448.781;402.5153333;437.92;453.59
42362;443.01;459.54;443.01;455;10138.32;4598655.92;453.59;450.002;406.941;443.72;453.55
42363;455.78;458.33;448;455.51;2877.17;1304947.59;453.55;449.836;411.274;449.0966667;426.91
42364;455.5;457.45;407.25;417.39;26672.12;11386692.92;426.91;447.066;413.8573333;444.6833333;419.24
42365;417.11;425.42;410.5;421.76;6968.57;2921475.22;419.24;443.518;415.8973333;433.2333333;423.79
42366;421.78;429.86;417.01;421.46;7560.56;3204101.79;423.79;439.921;418.2016667;423.3133333;426.53
42367;420.81;433.33;418.55;431.82;10419.59;4444308.02;426.53;436.425;420.2493333;423.1866667;429.65
42368;431.7;434.97;420.75;425.84;7717.51;3315825.43;429.65;434.702;422.0296667;426.6566667;427.04
42369;426.09;433.89;419.99;430.89;6634.86;2833319.7;427.04;433.787;424.1133333;427.74;433.09
42370;430.89;436;427.2;433.82;3788.11;1640577.93;433.09;433.354;426.6943333;429.9266667;433.29
42371;434.87;435.99;430.42;433.55;2972.06;1287773.39;433.29;432.668;429.041;431.14;428.6
42372;433.2;434.09;424.06;431.04;4571.1;1959152.6;428.6;430.169;431.325;431.66;432.83
42373;431.54;435.86;428.44;434.17;5717.6;2474772.5;432.83;428.097;433.164;431.5733333;432.05
42374;433.31;435.39;429.5;432.43;3881.72;1677111.44;432.05;428.611;434.4986667;431.16;430.14
42375;432.45;432.67;426.54;429.56;5507.61;2369036.46;430.14;429.701;435.752;431.6733333;447.71
42376;429.99;459.16;429.25;457;16833.42;7536413.29;447.71;432.093;437.3853333;436.6333333;453.75
42377;456.87;465;444.51;452.7;10258.99;4654977.99;453.75;434.815;438.6853333;443.8666667;449.71
42378;452.02;454;446.68;448.84;4396.05;1976929.79;449.71;436.821;439.8336667;450.39;444.61
42379;448.84;449.89;440.8;448.79;4078.61;1813405.06;444.61;438.578;440.0486667;449.3566667;445.4
42380;448.2;451.13;438;448;7986.46;3557149.61;445.4;439.809;440.4786667;446.5733333;442.64
42381;448;448;434.35;434.85;6930.9;3067862.76;442.64;440.744;440.731;444.2166667;429.87
42382;434.78;438.35;424.5;432.64;10067.02;4327468.86;429.87;440.871;440.3473333;439.3033333;430.6
42383;432.64;434;427;429.55;4420.91;1903623.77;430.6;440.648;439.527;434.37;395.33
42384;429.55;429.8;360;360;37326.7;14756284.24;395.33;436.976;437.551;418.6;372.27
42385;360.62;392.07;352;386.91;25019.25;9314016.2;372.27;431.189;434.8026667;399.4;382.81
42386;387.8;391.14;376;380.16;8416.94;3222126.45;382.81;424.699;432.2376667;383.47;382.05
42387;379.94;388.5;373.63;385.49;7015.53;2680282.37;382.05;417.529;429.5896667;379.0433333;381.88
42388;385.47;386.92;375.59;376.76;7223;2758289.78;381.88;410.746;427.423;382.2466667;400.1
42389;376.9;422.98;372.53;416.32;25172.92;10071637.71;400.1;406.295;426.22;388.01;412.83
42390;418.9;421.25;404.59;409.59;9414.56;3886595.68;412.83;403.038;425.4003333;398.27;389.81
42391;409.42;410.07;374.45;382.55;14744.76;5747610.6;389.81;397.755;423.7223333;400.9133333;388.05
42392;382.85;395;381.05;386.4;7664.89;2974351.32;388.05;393.573;421.5376667;396.8966667;399.44
42393;386.37;405.97;385.36;402.16;5448.85;2176476.21;399.44;390.457;419.734;392.4333333;394.12
42394;402.16;402.31;385.5;390.9;8040.83;3169083.78;394.12;390.336;418.641;393.87;392.46
42395;390.1;397.7;386.2;391.77;6589.15;2585992.59;392.46;392.355;417.7483333;395.34;394.34
