TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
16.03.2016;415.84;416.82;413.15;416.57;4100.48;1702108.56;415.1;413.59;419.641;414.71
17.03.2016;416.52;419;415.66;418.49;3704.16;1548743.03;418.11;414.384;420.1243333;416.2366667
18.03.2016;418.47;418.49;403.34;407.91;6391.25;2620535.28;410.02;414.242;419.9563333;414.41
19.03.2016;407.5;409.95;404.1;409.04;2870.25;1167962.94;406.92;413.793;419.508;411.6833333
20.03.2016;408.36;412;406.6;411.28;2579;1057230.7;409.94;413.442;419.2033333;408.96
21.03.2016;410.62;411.96;406.5;411.67;3546.28;1451351.16;409.26;412.432;418.411;408.7066667
22.03.2016;411.15;416.99;410.35;416.64;3950.16;1638956.4;414.91;412.63;417.6353333;411.37
23.03.2016;416.39;419;413.44;417.62;4946.4;2059556.01;416.38;412.967;416.9556667;413.5166667
24.03.2016;417.62;418.15;412.85;415.17;2776.61;1155165.75;416.03;413.217;416.6746667;415.7733333
25.03.2016;415.17;416.92;412;415.7;2588.78;1074765.82;415.16;413.183;416.532;415.8566667
26.03.2016;415.6;416.99;414;416.96;1253.01;521077.51;415.86;413.259;416.334;415.6833333
27.03.2016;416.96;427.99;415.77;424.77;5038.88;2135073.92;423.72;413.82;416.3256667;418.2466667
28.03.2016;424.62;424.77;420.32;422.87;3283.79;1388121.95;422.72;415.09;416.0386667;420.7666667
29.03.2016;422.87;424.37;407.22;415.95;5955;2473866.21;415.43;415.941;415.5713333;420.6233333
30.03.2016;415.43;415.93;408.59;413.74;4824.85;1990559.5;412.56;416.203;414.7973333;416.9033333
31.03.2016;413.68;416.99;411.4;414.66;3774.42;1566080.97;414.92;416.769;414.222;414.3033333
01.04.2016;414.66;416.99;413.42;416.31;3736.77;1552890.07;415.57;416.835;413.7653333;414.35
02.04.2016;416.31;420;416.01;419;2072.95;867252.47;418.37;417.034;413.7056667;416.2866667
